parameters,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-21120.2,0.914623,27.0305,27.1316,-21164.4,-21119.9,-21075.3,879.082,1509.5,1.00601
alpha,2.21621,0.00208697,0.157749,0.158824,1.96026,2.21856,2.47256,5789.35,2956.38,1.00063
"thetas[1,1]",-10.9089,0.0554534,2.87588,2.84496,-15.7068,-10.8487,-6.28329,2759.33,2771.48,1.00121
"thetas[1,2]",-6.04546,0.054724,2.62749,2.59042,-10.3747,-6.0698,-1.69091,2329.38,2690.29,1.00116
"thetas[1,3]",-8.57119,0.0549391,2.61767,2.62299,-12.8191,-8.57744,-4.36795,2295.4,3097.93,1.00003
"thetas[1,4]",-10.572,0.057473,2.58887,2.55111,-14.9087,-10.4946,-6.40134,2061.68,2695.8,1.00014
"thetas[1,5]",-5.34349,0.0556507,2.61588,2.59535,-9.57159,-5.36898,-1.00829,2238.5,2756.22,1.00066
"thetas[1,6]",-5.25589,0.0561434,2.60022,2.65252,-9.4741,-5.23606,-0.984831,2162.74,2423.49,1.00143
"thetas[1,7]",-5.13553,0.0487946,2.60337,2.63525,-9.46698,-5.15313,-0.793011,2865.38,2973.85,1.00079
"thetas[1,8]",-2.75573,0.0577764,2.62464,2.56183,-7.13846,-2.76613,1.60484,2103.72,2662.37,1.00226
"thetas[1,9]",-1.53392,0.0594481,2.6149,2.70482,-5.72431,-1.54635,2.74033,1886.81,2606.74,1.00285
"thetas[1,10]",-1.33433,0.0513469,2.56157,2.60815,-5.58195,-1.3495,2.91843,2503.75,2879.48,1.00201
"thetas[1,11]",-7.02062,0.0513148,2.60521,2.5821,-11.3919,-6.97182,-2.78489,2718.48,2893.95,1.00209
"thetas[1,12]",-3.21304,0.053841,2.64258,2.69502,-7.55663,-3.19568,1.07277,2466.58,2577.64,1.00092
"thetas[1,13]",-2.51865,0.0537092,2.6149,2.67167,-6.87009,-2.55828,1.7436,2384.12,2816.26,1.00139
"thetas[1,14]",2.61269,0.0486946,2.55185,2.54387,-1.56375,2.62332,6.6835,2772.22,2808.73,0.999907
"thetas[1,15]",2.9876,0.0492349,2.56745,2.5825,-1.22966,2.98451,7.11134,2789.64,2617.82,1.00009
"thetas[1,16]",7.2031,0.0527426,2.62248,2.57379,3.01739,7.19238,11.4576,2559.47,2625.28,0.9998
"thetas[1,17]",2.55511,0.0454342,2.65281,2.60583,-1.77172,2.55307,6.97101,3576.59,2841.09,1.00066
"thetas[1,18]",-3.15724,0.0497954,2.53876,2.46514,-7.45806,-3.15545,0.93331,2661.41,2866.56,1.00109
"thetas[1,19]",-7.43399,0.0541729,2.60884,2.62946,-11.776,-7.3936,-3.16292,2465.04,2672.95,1.0024
"thetas[1,20]",-3.14689,0.0563932,2.60853,2.63894,-7.39596,-3.17278,1.05906,2274.65,2798.54,1.00257
"thetas[1,21]",1.36789,0.050491,2.57499,2.67141,-2.87962,1.40306,5.58693,2714.16,2871.47,1.00322
"thetas[1,22]",2.44394,0.0496895,2.58112,2.52866,-1.69949,2.4051,6.77238,2781.23,2899.5,1.00242
"thetas[1,23]",-3.54448,0.0503014,2.4778,2.45595,-7.70066,-3.566,0.563238,2512.85,2798.54,1.00207
"thetas[1,24]",-4.17334,0.0479876,2.50888,2.49563,-8.32262,-4.21716,0.114151,2803.89,2726.0,1.00289
"thetas[1,25]",0.153885,0.0463794,2.63398,2.61253,-4.13062,0.171326,4.49864,3311.67,2919.59,1.00079
"thetas[2,1]",-6.28305,0.0575306,2.92876,2.83138,-11.0894,-6.28435,-1.50821,2666.31,2572.05,1.00054
"thetas[2,2]",-3.71296,0.0532919,2.63015,2.61093,-8.09787,-3.72437,0.644432,2513.83,2638.73,1.00084
"thetas[2,3]",1.06654,0.0558723,2.58322,2.46695,-3.25474,1.05034,5.30544,2158.85,2593.52,1.00061
"thetas[2,4]",-4.17848,0.0536303,2.62319,2.62696,-8.52362,-4.19497,0.175257,2406.17,2715.62,1.00043
"thetas[2,5]",-1.69015,0.0561759,2.62064,2.61677,-5.92038,-1.7224,2.59667,2181.6,2699.29,1.00055
"thetas[2,6]",-0.927875,0.0495754,2.69391,2.69461,-5.33491,-0.968275,3.54244,3051.87,2691.43,1.00075
"thetas[2,7]",-2.76688,0.048112,2.58362,2.58972,-6.92765,-2.75887,1.46502,2923.64,3000.31,1.00111
"thetas[2,8]",-5.76453,0.0478531,2.64114,2.5394,-10.1054,-5.74904,-1.41268,3077.11,2351.48,1.00222
"thetas[2,9]",1.48987,0.0484458,2.5902,2.58489,-2.7847,1.50426,5.81212,2887.83,2924.32,1.00305
"thetas[2,10]",3.5668,0.0532506,2.51196,2.4747,-0.534123,3.52475,7.77098,2188.28,2664.2,1.00406
"thetas[2,11]",5.54283,0.0546267,2.60133,2.56416,1.14451,5.59226,9.77529,2259.98,3059.07,1.00246
"thetas[2,12]",3.85294,0.0559288,2.63375,2.63789,-0.394987,3.83261,8.12406,2226.32,2577.37,1.00247
"thetas[2,13]",4.19388,0.0523779,2.66012,2.66936,-0.0592947,4.16326,8.58889,2611.19,2733.67,1.0005
